self,transactions,operations,payments,effects,offers,trades,data
https://horizon.stellar.org/accounts/GDIQN3BCIF52R5WDMTPWUSN7IM3ZNQYYRWEWR2I7QX7BQUTKYNU2ISDY,"https://horizon.stellar.org/accounts/GDIQN3BCIF52R5WDMTPWUSN7IM3ZNQYYRWEWR2I7QX7BQUTKYNU2ISDY/transactions{?cursor,limit,order}","https://horizon.stellar.org/accounts/GDIQN3BCIF52R5WDMTPWUSN7IM3ZNQYYRWEWR2I7QX7BQUTKYNU2ISDY/operations{?cursor,limit,order}","https://horizon.stellar.org/accounts/GDIQN3BCIF52R5WDMTPWUSN7IM3ZNQYYRWEWR2I7QX7BQUTKYNU2ISDY/payments{?cursor,limit,order}","https://horizon.stellar.org/accounts/GDIQN3BCIF52R5WDMTPWUSN7IM3ZNQYYRWEWR2I7QX7BQUTKYNU2ISDY/effects{?cursor,limit,order}","https://horizon.stellar.org/accounts/GDIQN3BCIF52R5WDMTPWUSN7IM3ZNQYYRWEWR2I7QX7BQUTKYNU2ISDY/offers{?cursor,limit,order}","https://horizon.stellar.org/accounts/GDIQN3BCIF52R5WDMTPWUSN7IM3ZNQYYRWEWR2I7QX7BQUTKYNU2ISDY/trades{?cursor,limit,order}",https://horizon.stellar.org/accounts/GDIQN3BCIF52R5WDMTPWUSN7IM3ZNQYYRWEWR2I7QX7BQUTKYNU2ISDY/data/{key}
,True,True,True,True,True,True,True
