,buy,hold,sell,symbol,timestamp
84,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
85,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
86,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
87,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
88,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
89,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
90,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
91,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
92,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
93,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
94,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
95,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
96,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
97,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
98,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
99,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
100,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
101,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
102,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
103,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
104,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
105,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
106,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
107,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
108,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
109,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
110,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
111,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
112,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
113,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
114,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
115,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
116,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
117,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
118,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
119,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
120,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
121,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
122,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
123,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
124,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
125,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
126,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
127,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
128,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
129,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
130,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
131,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
132,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
133,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
134,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
135,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
136,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
137,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
138,100,0,-100,USDC_XLM,2023-12-30 15:48:10.255531
