balance,limit,buying_liabilities,selling_liabilities,last_modified_ledger,is_authorized,is_authorized,is_authorized_to_maintain_liabilities,asset_type,asset_code,asset_issuer
0.0000000,922337203685.4775807,0.0000000,0.0000000,47920746.0,True,True,True,credit_alphanum4,SHX,GC2O7NDIWV67AOMMBHIWDJS5ILM6G6D5TJND6NWXJXZHI3XLE27XXSHX
0.0000000,922337203685.4775807,0.0000000,0.0000000,38627523.0,True,True,True,credit_alphanum4,TEB,GDBOBXWOUXAPGAZD42KIVSL5VLFVQCGDYYCNXRLEKUATJBSVXEJKSF3U
0.0000002,922337203685.4775807,0.0000000,0.0000000,47857093.0,True,True,True,credit_alphanum4,TRX,GAFPPCPSNVDCRMFW45O2JMX66DFTME7FCFQK4LN3IZJIBINUS7MT6HUB
100505.2682956,922337203685.4775807,0.0000000,0.0000000,48339244.0,False,False,False,credit_alphanum12,upvoteICE,GAXSGZ2JM3LNWOO4WRGADISNMWO4HQLG4QBGUZRKH5ZHL3EQBGX73ICE
0.0000000,922337203685.4775807,0.0000000,0.0000000,47892844.0,True,True,True,credit_alphanum4,USDC,GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN
0.0000001,922337203685.4775807,0.0000000,0.0000000,24765828.0,True,True,True,credit_alphanum4,USDT,GC2PJ6J37QM3DOQ63DVGCXTRC5QOKAJUBQO2XKBXOJCWTCOCP75KWUDX
0.0000000,922337203685.4775807,0.0000000,0.0000000,38747882.0,True,True,True,credit_alphanum4,XCHF,GDPKQ2TSNJOFSEE7XSUXPWRP27H6GFGLWD7JCHNEYYWQVGFA543EVBVT
0.0000000,922337203685.4775807,0.0000000,0.0000000,38747769.0,True,True,True,credit_alphanum4,XRP,GBXRPL45NPHCVMFFAYZVUVFFVKSIZ362ZXFP7I2ETNQ3QKZMFLPRDTD5
15.3470000,922337203685.4775807,0.0000000,0.0000000,47931980.0,True,True,True,credit_alphanum4,XRP,GDSDMHF2B7DXBHLZI2442SBL7LTPUTCQFNVKGWBCB7KFNQLY7CMUIXRP
0.0000000,922337203685.4775807,0.0000000,0.0000000,38747738.0,True,True,True,credit_alphanum4,yBTC,GBUVRNH4RW4VLHP4C5MOF46RRIRZLAVHYGX45MVSTKA2F6TMR7E7L6NW
0.0000000,922337203685.4775807,0.0000000,0.0000000,38823731.0,True,True,True,credit_alphanum4,yETH,GDYQNEF2UWTK4L6HITMT53MZ6F5QWO3Q4UVE6SCGC4OMEQIZQQDERQFD
0.0000000,922337203685.4775807,0.0000000,0.0000000,47893140.0,True,True,True,credit_alphanum12,yUSDC,GDGTVWSM4MGS4T7Z6W4RPWOCHE2I6RDFCIFZGS3DOA63LWQTRNZNTTFF
0.0000000,922337203685.4775807,0.0000000,0.0000000,47960121.0,True,True,True,credit_alphanum4,yXLM,GARDNV3Q7YGT4AKSDF25LT32YSCCW4EV22Y2TV3I2PU2MMXJTEDL5T55
0.0000000,922337203685.4775807,0.0000000,0.0000000,38700880.0,True,True,True,credit_alphanum4,ZAR,GDYG7OEXT7GO2WOYJKRFMYK6PXQTPFRKO4JSNRRZWE4JM2V6QWQR2QZD
134.7905212,,0.0000000,0.0000000,,,,,native,,
